chr	coordinate	ORF
chrI	1665	YAL068C
chrI	7058	YAL067C
chrI	22160	YAL064W
chrI	22197	YAL063C-A
chrI	23927	YAL063C
chrI	33011	YAL062W
chrI	34868	YAL061W
chrI	36387	YAL060W
chrI	37344	YAL059W
chrI	39011	YAL058W
chrI	41980	YAL056W
chrI	42718	YAL054C
chrI	42790	YAL055W
chrI	48310	YAL053W
chrI	51719	YAL049C
chrI	51856	YAL051W
chrI	52616	YAL048C
chrI	54937	YAL047C
chrI	56911	YAL046C
chrI	57868	YAL044C
chrI	57961	YAL044W-A
chrI	58626	YAL043C
chrI	62654	YAL042W
chrI	65463	YAL041W
chrI	65601	YAL040C
chrI	68654	YAL039C
chrI	73452	YAL038W
chrI	74850	YAL036C
chrI	79555	YAL035W
chrI	80563	YAL034C
chrI	80675	YAL034W-A
chrI	83204	YAL032C
chrI	83299	YAL033W
chrI	84595	YAL031C
chrI	87695	YAL029C
chrI	87862	YAL030W
chrI	94606	YAL028W
chrI	95482	YAL026C
chrI	95578	YAL027W
chrI	100022	YAL025C
chrI	101371	YAL024C
chrI	106143	YAL023C
chrI	108835	YAL022C
chrI	110616	YAL021C
chrI	113537	YAL020C
chrI	118386	YAL019W
chrI	124459	YAL017W
chrI	126875	YAL016W
chrI	126896	YAL015C
chrI	128091	YAL014C
chrI	130583	YAL013W
chrI	132082	YAL012W
chrI	134136	YAL010C
chrI	134178	YAL011W
chrI	136780	YAL009W
chrI	137522	YAL007C
chrI	137637	YAL008W
chrI	139357	YAL005C
chrI	143368	YAL003W
chrI	147539	YAL001C
chrI	147565	YAL002W
chrI	153962	YAR002W
chrI	153989	YAR002C-A
chrI	156681	YAR007C
chrI	159860	YAR008W
chrI	166557	YAR014C
chrI	170263	YAR018C
chrI	170390	YAR015W
chrI	172119	YAR019C
chrI	176480	YAR020C
chrI	179043	YAR023C
chrI	184552	YAR027W
chrI	185794	YAR028W
chrI	186754	YAR029W
chrI	187889	YAR031W
chrI	188904	YAR033W
chrI	192409	YAR035W
chrI	196418	YAR042W
chrI	208283	YAR050W
chrI	226913	YAR071W
chrII	7527	YBL108C-A
chrII	9818	YBL107C
chrII	10773	YBL106C
chrII	14104	YBL105C
chrII	18094	YBL104C
chrII	21715	YBL103C
chrII	24810	YBL101C
chrII	24938	YBL102W
